t,BodyA_x,BodyA_y,BodyB_x,BodyB_y
1.6600000000,-0.2704650682,0.4707087675,0.6877908493,0.8700711098
1.6800000000,-0.2917952791,0.4486738230,0.6704490913,0.8745949231
1.7000000000,-0.3123641845,0.4254682709,0.6529069445,0.8788573309
1.7200000000,-0.3320833968,0.4011053599,0.6351657956,0.8828518684
1.7400000000,-0.3508618965,0.3756062136,0.6172271566,0.8865719035
1.7600000000,-0.3686068351,0.3490006149,0.5990926735,0.8900106323
1.7800000000,-0.3852245204,0.3213277217,0.5807641361,0.8931610744
1.8000000000,-0.4006215873,0.2926366726,0.5622434875,0.8960160676
1.8200000000,-0.4147063417,0.2629870364,0.5435328357,0.8985682632
1.8400000000,-0.4273902602,0.2324490567,0.5246344644,0.9008101209
1.8600000000,-0.4385896077,0.2011036483,0.5055508456,0.9027339043
1.8800000000,-0.4482271243,0.1690421037,0.4862846530,0.9043316757
1.9000000000,-0.4562337198,0.1363654818,0.4668387755,0.9055952917
1.9200000000,-0.4625501020,0.1031836655,0.4472163329,0.9065163986
1.9400000000,-0.4671282604,0.0696140938,0.4274206915,0.9070864278
1.9600000000,-0.4699327261,0.0357801963,0.4074554811,0.9072965923
1.9800000000,-0.4709415363,0.0018095795,0.3873246139,0.9071378825
2.0000000000,-0.4701468456,-0.0321679672,0.3670323036,0.9066010628
2.0200000000,-0.4675551454,-0.0660225606,0.3465830861,0.9056766692
2.0400000000,-0.4631870788,-0.0996263167,0.3259818421,0.9043550063
2.0600000000,-0.4570768615,-0.1328553558,0.3052338207,0.9026261461
2.0800000000,-0.4492713456,-0.1655916342,0.2843446644,0.9004799269
2.1000000000,-0.4398287828,-0.1977245328,0.2633204361,0.8979059537
2.1200000000,-0.4288173572,-0.2291521510,0.2421676477,0.8948935987
2.1400000000,-0.4163135675,-0.2597822770,0.2208932903,0.8914320042
2.1600000000,-0.4024005360,-0.2895330273,0.1995048667,0.8875100862
2.1800000000,-0.3871663199,-0.3183331661,0.1780104249,0.8831165398
2.2000000000,-0.3707022866,-0.3461221333,0.1564185949,0.8782398467
