t,BodyA_x,BodyA_y,BodyB_x,BodyB_y
6.8200000000,0.0800436632,-0.7984821131,0.6758276236,-0.4734020781
6.8400000000,0.0982006937,-0.7977142788,0.6879116500,-0.4681949885
6.8600000000,0.1163384772,-0.7967900949,0.6998608480,-0.4628961343
6.8800000000,0.1344534588,-0.7957097428,0.7116728754,-0.4575065538
6.9000000000,0.1525420878,-0.7944734341,0.7233454172,-0.4520273036
6.9200000000,0.1706008192,-0.7930814111,0.7348761856,-0.4464594574
6.9400000000,0.1886261133,-0.7915339468,0.7462629207,-0.4408041067
6.9600000000,0.2066144373,-0.7898313443,0.7575033906,-0.4350623597
6.9800000000,0.2245622655,-0.7879739374,0.7685953923,-0.4292353419
7.0000000000,0.2424660802,-0.7859620901,0.7795367517,-0.4233241953
7.0200000000,0.2603223724,-0.7837961968,0.7903253244,-0.4173300786
7.0400000000,0.2781276422,-0.7814766819,0.8009589959,-0.4112541665
7.0600000000,0.2958783999,-0.7790040001,0.8114356820,-0.4050976499
7.0800000000,0.3135711664,-0.7763786360,0.8217533293,-0.3988617355
7.1000000000,0.3312024739,-0.7736011042,0.8319099156,-0.3925476454
7.1200000000,0.3487688668,-0.7706719490,0.8419034502,-0.3861566172
7.1400000000,0.3662669021,-0.7675917446,0.8517319744,-0.3796899036
7.1600000000,0.3836931503,-0.7643610947,0.8613935619,-0.3731487720
7.1800000000,0.4010441959,-0.7609806325,0.8708863190,-0.3665345044
7.2000000000,0.4183166380,-0.7574510205,0.8802083852,-0.3598483973
7.2200000000,0.4355070915,-0.7537729505,0.8893579333,-0.3530917610
7.2400000000,0.4526121869,-0.7499471434,0.8983331702,-0.3462659198
7.2600000000,0.4696285718,-0.7459743491,0.9071323366,-0.3393722116
7.2800000000,0.4865529111,-0.7418553462,0.9157537079,-0.3324119876
7.3000000000,0.5033818875,-0.7375909420,0.9241955945,-0.3253866119
7.3200000000,0.5201122026,-0.7331819724,0.9324563417,-0.3182974614
7.3400000000,0.5367405775,-0.7286293015,0.9405343305,-0.3111459257
7.3600000000,0.5532637529,-0.7239338215,0.9484279775,-0.3039334064
