t,BodyA_x,BodyA_y,BodyB_x,BodyB_y
1.6200000000,0.5499503822,0.7248892710,-0.1787281509,0.5920270887
1.6400000000,0.5334057957,0.7295561123,-0.1939055014,0.5906042825
1.6600000000,0.5167566635,0.7340799630,-0.2090448471,0.5890657196
1.6800000000,0.5000062485,0.7384599363,-0.2241432206,0.5874117018
1.7000000000,0.4831578339,0.7426951738,-0.2391976627,0.5856425532
1.7200000000,0.4662147220,0.7467848455,-0.2542052229,0.5837586205
1.7400000000,0.4491802334,0.7507281497,-0.2691629597,0.5817602730
1.7600000000,0.4320577070,0.7545243136,-0.2840679414,0.5796479023
1.7800000000,0.4148504986,0.7581725931,-0.2989172467,0.5774219225
1.8000000000,0.3975619809,0.7616722733,-0.3137079652,0.5750827698
1.8200000000,0.3801955423,0.7650226681,-0.3284371979,0.5726309028
1.8400000000,0.3627545866,0.7682231209,-0.3431020580,0.5700668020
1.8600000000,0.3452425321,0.7712730045,-0.3576996711,0.5673909698
1.8800000000,0.3276628112,0.7741717210,-0.3722271763,0.5646039309
1.9000000000,0.3100188695,0.7769187023,-0.3866817261,0.5617062314
1.9200000000,0.2923141650,0.7795134101,-0.4010604876,0.5586984393
1.9400000000,0.2745521679,0.7819553357,-0.4153606425,0.5555811440
1.9600000000,0.2567363595,0.7842440006,-0.4295793880,0.5523549567
1.9800000000,0.2388702315,0.7863789562,-0.4437139374,0.5490205095
2.0000000000,0.2209572858,0.7883597840,-0.4577615202,0.5455784561
2.0200000000,0.2030010331,0.7901860958,-0.4717193832,0.5420294710
2.0400000000,0.1850049929,0.7918575337,-0.4855847908,0.5383742499
2.0600000000,0.1669726923,0.7933737700,-0.4993550253,0.5346135092
2.0800000000,0.1489076656,0.7947345076,-0.5130273878,0.5307479860
2.1000000000,0.1308134534,0.7959394798,-0.5265991986,0.5267784378
2.1200000000,0.1126936022,0.7969884504,-0.5400677976,0.5227056427
2.1400000000,0.0945516635,0.7978812138,-0.5534305451,0.5185303991
2.1600000000,0.0763911929,0.7986175951,-0.5666848219,0.5142535251
2.1800000000,0.0582157499,0.7991974499,-0.5798280303,0.5098758590
2.2000000000,0.0400288968,0.7996206645,-0.5928575943,0.5053982590
2.2200000000,0.0218341982,0.7998871560,-0.6057709601,0.5008216025
2.2400000000,0.0036352201,0.7999968722,-0.6185655968,0.4961467865
2.2600000000,-0.0145644705,0.7999497916,-0.6312389965,0.4913747274
2.2800000000,-0.0327613064,0.7997459234,-0.6437886755,0.4865063604
2.3000000000,-0.0509517213,0.7993853075,-0.6562121739,0.4815426397
2.3200000000,-0.0691321498,0.7988680147,-0.6685070568,0.4764845383
2.3400000000,-0.0872990286,0.7981941463,-0.6806709145,0.4713330473
2.3600000000,-0.1054487971,0.7973638344,-0.6927013629,0.4660891766
2.3800000000,-0.1235778979,0.7963772418,-0.7045960440,0.4607539539
2.4000000000,-0.1416827779,0.7952345618,-0.7163526266,0.4553284249
2.4200000000,-0.1597598885,0.7939360183,-0.7279688063,0.4498136530
2.4400000000,-0.1778056867,0.7924818659,-0.7394423065,0.4442107191
2.4600000000,-0.1958166355,0.7908723896,-0.7507708783,0.4385207212
2.4800000000,-0.2137892049,0.7891079049,-0.7619523015,0.4327447747
2.5000000000,-0.2317198723,0.7871887575,-0.7729843845,0.4268840117
2.5200000000,-0.2496051234,0.7851153237,-0.7838649649,0.4209395807
2.5400000000,-0.2674414526,0.7828880097,-0.7945919104,0.4149126469
2.5600000000,-0.2852253642,0.7805072522,-0.8051631184,0.4088043916
2.5800000000,-0.3029533725,0.7779735178,-0.8155765170,0.4026160119
2.6000000000,-0.3206220030,0.7752873031,-0.8258300652,0.3963487208
2.6200000000,-0.3382277925,0.7724491346,-0.8359217534,0.3900037466
2.6400000000,-0.3557672905,0.7694595684,-0.8458496035,0.3835823329
2.6600000000,-0.3732370592,0.7663191907,-0.8556116699,0.3770857382
2.6800000000,-0.3906336747,0.7630286169,-0.8652060391,0.3705152360
2.7000000000,-0.4079537272,0.7595884919,-0.8746308307,0.3638721140
2.7200000000,-0.4251938220,0.7559994900,-0.8838841975,0.3571576742
2.7400000000,-0.4423505803,0.7522623146,-0.8929643257,0.3503732327
2.7600000000,-0.4594206393,0.7483776982,-0.9018694359,0.3435201191
2.7800000000,-0.4764006532,0.7443464022,-0.9105977825,0.3365996767
2.8000000000,-0.4932872942,0.7401692166,-0.9191476548,0.3296132619
2.8200000000,-0.5100772525,0.7358469603,-0.9275173772,0.3225622438
2.8400000000,-0.5267672372,0.7313804803,-0.9357053091,0.3154480047
2.8600000000,-0.5433539773,0.7267706521,-0.9437098458,0.3082719387
2.8800000000,-0.5598342217,0.7220183792,-0.9515294184,0.3010354524
2.9000000000,-0.5762047404,0.7171245929,-0.9591624942,0.2937399641
2.9200000000,-0.5924623248,0.7120902526,-0.9666075773,0.2863869037
2.9400000000,-0.6086037885,0.7069163448,-0.9738632084,0.2789777124
2.9600000000,-0.6246259678,0.7016038837,-0.9809279654,0.2715138424
2.9800000000,-0.6405257224,0.6961539105,-0.9878004637,0.2639967565
3.0000000000,-0.6562999360,0.6905674933,-0.9944793562,0.2564279281
3.0200000000,-0.6719455169,0.6848457271,-1.0009633340,0.2488088407
